Entry,What_did_you_do?,Did_you_give_them_a_snack?,How_angry_were_you_that_day?,Did_your_kid_have_a_shitfit?
1,Told_my_kid_to_take_a_nap,No,0.2,1
2,Turned_on_Bluey,Yes,0.7,0
3,Turned_on_Bluey,No,0.4,1
4,Told_my_kid_to_take_a_nap,Yes,0.1,0
5,Turned_on_Bluey,Yes,0.9,1
6,Told_my_kid_to_take_a_nap,No,0.3,1
7,Turned_on_Bluey,No,0.6,0
8,Told_my_kid_to_take_a_nap,Yes,0.8,1
9,Told_my_kid_to_take_a_nap,No,0.5,0
10,Turned_on_Bluey,Yes,0.2,1
11,Told_my_kid_to_take_a_nap,No,0.7,0
12,Told_my_kid_to_take_a_nap,Yes,0.4,1
13,Turned_on_Bluey,No,0.1,0
14,Turned_on_Bluey,Yes,0.9,1
15,Told_my_kid_to_take_a_nap,No,0.3,1
16,Turned_on_Bluey,Yes,0.6,0
17,Told_my_kid_to_take_a_nap,No,0.8,1
18,Told_my_kid_to_take_a_nap,Yes,0.5,0
19,Turned_on_Bluey,No,0.2,1
20,Turned_on_Bluey,Yes,0.7,0
21,Told_my_kid_to_take_a_nap,No,0.4,1
22,Told_my_kid_to_take_a_nap,Yes,0.1,0
23,Turned_on_Bluey,Yes,0.9,1
24,Told_my_kid_to_take_a_nap,No,0.3,1
25,Turned_on_Bluey,Yes,0.6,0
26,Told_my_kid_to_take_a_nap,No,0.8,1
27,Turned_on_Bluey,No,0.5,0
28,Told_my_kid_to_take_a_nap,Yes,0.2,1
29,Told_my_kid_to_take_a_nap,No,0.7,0
30,Turned_on_Bluey,Yes,0.4,1
31,Turned_on_Bluey,No,0.1,0
32,Told_my_kid_to_take_a_nap,Yes,0.9,1
33,Turned_on_Bluey,No,0.3,1
34,Turned_on_Bluey,Yes,0.6,0
35,Told_my_kid_to_take_a_nap,Yes,0.8,1
36,Turned_on_Bluey,No,0.5,0
37,Turned_on_Bluey,Yes,0.2,1
38,Told_my_kid_to_take_a_nap,No,0.7,0
39,Told_my_kid_to_take_a_nap,Yes,0.4,1
40,Turned_on_Bluey,No,0.1,0
41,Turned_on_Bluey,Yes,0.9,1
42,Told_my_kid_to_take_a_nap,No,0.3,1
43,Turned_on_Bluey,Yes,0.6,0
44,Told_my_kid_to_take_a_nap,Yes,0.8,1
45,Turned_on_Bluey,No,0.5,0
46,Turned_on_Bluey,Yes,0.2,1
47,Told_my_kid_to_take_a_nap,No,0.7,0
48,Told_my_kid_to_take_a_nap,Yes,0.4,1
49,Turned_on_Bluey,No,0.1,0
50,Turned_on_Bluey,Yes,0.9,1
51,Told_my_kid_to_take_a_nap,No,0.3,1
52,Turned_on_Bluey,Yes,0.6,0
53,Told_my_kid_to_take_a_nap,No,0.8,1
54,Told_my_kid_to_take_a_nap,Yes,0.5,0
55,Turned_on_Bluey,No,0.2,1
56,Turned_on_Bluey,Yes,0.7,0
57,Told_my_kid_to_take_a_nap,No,0.4,1
58,Told_my_kid_to_take_a_nap,Yes,0.1,0
59,Turned_on_Bluey,Yes,0.9,1
60,Told_my_kid_to_take_a_nap,No,0.3,1